Number,Latency (µs)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,4198
22,4228
23,4259
24,4287
25,4316
26,4383
27,4439
28,4473
29,4492
30,4506
31,4518
32,4537
33,4551
34,4566
35,4584
36,4608
37,4641
38,4669
39,4700
40,4731
41,4765
42,4798
43,4803
44,5542
45,5830
46,5887
47,5905
48,5921
49,5938
50,5957
51,5973
52,5992
53,6018
54,6050
55,6089
56,6118
57,6151
58,6185
59,6230
60,6309
61,6341
62,6375
63,6403
64,6425
65,6433
66,6471
67,6734
68,6770
69,6826
70,6836
71,6850
72,6868
73,6881
74,6894
75,6906
76,6923
77,6924
78,6945
79,6945
80,6951
81,6963
82,6979
83,6997
84,7006
85,7022
86,7036
87,7051
88,7069
89,7089
90,7102
91,7137
92,7162
93,7219
94,7252
95,7285
96,7313
97,7372
98,7374
99,7406
100,7457
101,7488
102,7514
103,7545
104,7577
105,7603
106,7631
107,7661
108,7792
109,7839
110,8026
111,8359
112,8388
113,8393
114,8417
115,8418
116,8472
117,8477
118,8503
119,8509
120,8526
121,8534
122,8542
123,8543
124,8550
125,8563
126,8570
127,8577
128,8579
129,8593
130,8599
131,8602
132,8610
133,8613
134,8625
135,8627
136,8640
137,8641
138,8653
139,8656
140,8666
141,8669
142,8681
143,8684
144,8701
145,8710
146,8712
147,8735
148,8738
149,8744
150,8766
151,8772
152,8779
153,8796
154,8804
155,8805
156,8825
157,8851
158,8851
159,8858
160,8884
161,8895
162,8919
163,8932
164,8941
165,8964
166,8995
167,9002
168,9024
169,9042
170,9053
171,9092
172,9771
173,10229
174,10492
175,10536
176,10560
177,10576
178,10611
179,10734
180,10744
181,10773
182,10802
183,10827
184,10860
185,10891
186,10934
187,10987
188,11013
189,11064
190,11096
191,11128
192,11307
193,11407
194,11830
195,11849
196,11865
197,11883
198,11898
199,11902
200,11919
201,11935
202,11959
203,11992
204,12032
205,12060
206,12082
207,12092
208,12909
209,13189
210,13226
211,13272
212,13280
213,13293
214,13300
215,13309
216,13324
217,13332
218,13345
219,13347
220,13370
221,13381
222,13418
223,13466
224,13495
225,13780
226,13806
227,13841
228,13858
229,13891
230,13917
231,13947
232,13975
233,13997
234,14024
235,14052
236,14081
237,14538
238,14586
239,14663
240,14843
241,14889
242,14909
243,14926
244,14952
245,15321
246,15898
247,15903
248,15913
249,15919
250,15934
251,15951
252,15953
253,15965
254,15970
255,15982
256,15985
257,15988
258,16005
259,16010
260,16029
261,16034
262,16070
263,16103
264,16108
265,16132
266,16135
267,16167
268,16185
269,16202
270,16218
271,16246
272,16252
273,16288
274,16297
275,16298
276,16311
277,16326
278,16331
279,16333
280,16358
281,16373
282,16391
283,16394
284,16416
285,16423
286,16442
287,16450
288,16461
289,16471
290,16490
291,16501
292,16516
293,16562
294,16623
295,16657
296,16678
297,16691
298,16705
299,16722
300,16726
301,16739
302,16754
303,16759
304,16766
305,16783
306,16789
307,16822
308,16833
309,16849
310,16851
311,16876
312,16881
313,16911
314,16945
315,16982
316,17652
317,17682
318,17710
319,17737
320,17761
321,17799
322,18181
323,18218
324,18250
325,18279
326,18309
327,18377
328,18404
329,18455
330,18484
331,18525
332,18581
333,18691
334,18741
335,18755
336,19607
337,19647
338,19871
339,19873
340,19913
341,19943
342,19956
343,19980
344,20021
345,20034
346,20048
347,20062
348,20076
349,20096
350,20098
351,20101
352,20103
353,20127
354,20165
355,20198
356,20220
357,20232
358,20282
359,20313
360,20345
361,20376
362,20410
363,20468
364,24205
365,27009
366,27043
367,27102
368,27128
369,27158
370,27182
371,27213
372,27241
373,27267
374,27293
375,27324
376,27356
377,27388
378,27420
379,27461
380,27469
381,27502
382,27535
383,27567
384,27601
385,27804
386,28592
387,28650
388,28681
389,28709
390,28733
391,28767
392,28805
393,28862
394,28890
395,28942
396,28975
397,29006
398,29026
399,32020
400,32422
401,32691
402,32727
403,32760
404,32774
405,32796
406,32821
407,37412
408,38482
409,38513
410,38535
411,38551
412,38571
413,38589
414,38610
415,38668
416,38698
417,38740
418,39017
419,39051
420,39102
421,39134
422,39159
423,39190
424,39221
425,39250
426,39277
427,39304
428,56935
